size,bedrooms,price
1000,2,200000
1500,3,300000
2000,3,400000
2500,4,500000
3000,4,600000
1720,1,263413
5203,1,727700
4673,4,646317
5362,5,736243
3081,3,444151
1097,6,285368
968,1,178153
1055,6,253292
391,3,146635
1518,6,319356
2842,1,431461
3299,3,505272
1461,4,287411
566,2,146107
2671,2,394111
605,6,222283
999,6,254186
3979,1,531362
1875,3,332863
5730,3,754281
3841,5,571159
5477,5,800074
4820,2,611570
561,1,140195
5874,3,751199
5446,2,741715
1263,3,242743
2990,2,469665
3817,5,560064
5990,3,765119
4820,1,664845
4806,3,677382
4187,3,611017
767,2,167620
1607,2,254603
1248,6,304298
4525,5,713812
4386,3,589396
715,5,210748
2592,2,382400
1558,6,337933
4755,6,678899
5840,3,798405
4050,4,603629
4493,1,568180
1013,3,219511
3685,3,530010
603,6,216102
2235,6,420225
3663,3,498470
3458,2,509785
3211,1,483682
1546,6,319810
2649,2,390649
693,3,174155
2802,1,379536
5653,3,740503
5435,4,815850
2491,1,370458
2900,2,448805
3695,4,553834
1618,1,270442
1055,3,220109
1592,4,316986
4073,6,619431
1140,6,285858
4168,1,609029
4075,4,575426
712,2,170170
3630,1,527791
5821,4,854301
4352,1,618584
4679,6,738138
3850,5,596673
2426,5,422030
964,6,265189
5991,4,775526
605,1,140832
2681,2,421386
4038,6,586864
2603,3,389006
2434,6,414698
3939,1,528482
4851,4,684847
4686,3,653164
2350,2,361959
1475,5,309662
1249,6,290973
1466,5,301476
2592,4,411116
5193,3,747672
1193,4,250229
1922,1,287010
5895,6,853816
2951,1,425597
2599,4,404445
312,5,161090
916,4,216506
5751,5,815032
313,2,123377
1502,2,251703
4100,2,556079
1412,1,246779
2107,4,348440
862,1,167198
736,1,148997
4109,5,651091
5509,5,750025
3519,1,467885
1858,3,323556
724,4,200028
5555,2,723434
4329,5,605420
2934,1,389044
1730,3,298323
4012,1,567386
4694,6,722937
3566,1,459453
5989,3,825906
3093,2,444494
2051,3,323804
3601,4,510970
4901,6,681925
4604,3,647773
3450,1,491707
1706,5,346287
5862,5,875153
902,6,252828
1184,3,221825
4404,2,582753
4449,2,621792
301,3,126916
2800,5,447119
4567,4,633299
1622,2,264662
3596,4,520801
3144,2,436516
4985,4,727846
3627,3,498129
4975,4,665699
4685,4,718770
4979,3,738699
4648,6,736558
3624,3,520740
2018,6,370062
2736,4,454587
3750,1,541555
3005,1,399062
1894,3,320895
4475,2,581369
4193,3,580467
3500,3,548850
5983,3,759507
3959,6,631606
5128,6,744773
4038,6,625792
5672,6,869344
3352,4,536034
2508,2,399946
331,2,113656
4303,5,672581
3745,1,495459
5973,2,778423
5929,5,879741
5571,6,798807
4755,3,691990
5504,3,733067
2430,3,371334
1547,2,267128
2345,5,383502
5005,5,728382
5067,1,701691
4823,2,635639
2038,4,355335
1923,2,290002
1609,2,253653
3885,5,563572
5679,6,870965
4554,6,678738
5399,6,733787
5959,5,779678
578,5,203864
2758,6,482411
1565,4,297906
1806,3,314236
2929,4,445963
4344,5,673615
4442,1,606709
4689,4,661901
3125,4,496989
3888,4,548291
413,5,178803
2621,4,403594
5678,2,730377
348,2,126256
848,2,186655
851,3,196745
1561,5,301171
3774,4,589876
2056,5,393064
559,5,191166
609,2,144757
5791,5,781981
1234,6,273321
5645,4,772977
5353,5,817384
2855,4,442028
452,2,136157
5069,1,717314
1834,6,344773
5248,2,702321
1099,3,230658
1844,3,321152
2594,5,441097
3587,6,542065
2509,5,445344
2660,5,454813
5616,1,724382
2788,4,455943
2896,3,428484
1688,2,287185
5869,5,879947
416,3,144705
3326,6,515281
2332,6,427229
3604,1,459440
1757,4,321154
1502,1,249761
4291,2,637963
404,5,167680
2097,1,311183
3857,3,581202
4722,4,670612
1643,1,250335
799,1,168516
425,4,155380
5213,2,750466
656,2,154109
3749,2,536740
1461,1,250475
1647,3,275357
5003,4,727859
3945,4,588401
3370,4,522573
3086,1,442444
4769,6,731390
3072,6,487679
1875,5,360891
2573,1,379530
955,2,195165
2400,6,438540
4607,1,579415
4209,3,628308
4113,3,625497
2966,4,445210
5736,4,775841
3982,2,599864
5916,4,776138
4918,6,754647
887,2,195285
3150,2,481369
1270,5,262107
4704,6,726136
2926,6,509338
3956,3,528790
1931,1,289466
1285,5,275996
5928,5,858454
698,3,185460
4874,5,681516
1138,3,231273
5579,4,735980
3100,3,483234
306,4,142917
4535,6,682042
4243,4,586358
2628,1,407718
3952,3,595396
3410,3,528045
629,2,147970
4916,6,682540
3346,1,489974
5757,4,762158
1753,3,325065
1275,4,275511
4815,6,702888
1408,1,241834
5323,1,737278
540,3,153131
2524,5,439154
1172,4,250116
